Vancouver,1022
Surrey,458
Burnaby,432
Abbotsford,307
Richmond,213
Delta,143
Coquitlam,131
Township of Langley,123
New Westminster,113
West Vancouver,79
District of North Vancouver,76
North Vancouver,75
Port Coquitlam,74
Port Moody,63
Maple Ridge,60
Mission,54
City of Langley,46
Electoral Area A,41
White Rock,22
Bowen Island Municipality,14
Pitt Meadows,14
Langley (City),11
Area F (West Howe Sound),7
Langley (District),4
Chilliwack,4
Area G (Deroche/Dewdney/Sumas Mountain),3
Bowen Island,3
Anmore,1
Lions Bay,1
UBC-Point Grey,1
Area H (Cultus Lake/Columbia Valley),1
